route_id,operating_mins,trip_count,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
49-20573,2599.0,75,49,Forest Heights,,3,,,
52-20573,2709.0,62,52,Evergreen/Somerset,,3,,,
53-20573,2222.0,83,53,Brentwood-Greenwood,,3,,,
54-20573,1820.0,48,54,Edgevalley,,3,,,
55-20573,2060.0,73,55,Falconridge,,3,,,
56-20573,4058.0,99,56,Woodbine,,3,,,
57-20573,3704.0,115,57, Monterey Park/ McCall Way,,3,,,
58-20573,2791.0,109,58,44 Street SE / Erin Woods,,3,,,
59-20573,320.0,32,59,Savanna,,3,,,
60-20573,1310.0,54,60,Taradale,,3,,,
61-20573,1436.0,58,61,Martindale,,3,,,
62-20573,564.0,11,62,Hidden Valley Express,,3,,,
64-20573,859.0,19,64,MacEwan Express,,3,,,
65-20573,3004.0,76,65,Market Mall-Downtown West,,3,,,
66-20573,3514.0,117,66,Lakeview,,3,,,
67-20573,1464.0,110,67,Memorial Drive,,3,,,
68-20573,737.0,25,68,68 Street East,,3,,,
69-20573,154.0,4,69,Deerfoot Centre,,3,,,
70-20573,377.0,8,70,Valley Ridge Express,,3,,,
71-20573,2590.0,140,71,Taradale,,3,,,
74-20573,1300.0,53,74,Tuscany,,3,,,
76-20573,2776.0,105,76,Hawkwood,,3,,,
77-20573,1920.0,51,77,Edgemont,,3,,,
78-20573,2360.0,91,78,Sundance/Chaparral,,3,,,
81-20573,2325.0,52,81,Macleod Trail,,3,,,
82-20573,2041.0,55,82,Nolan Hill,,3,,,
83-20573,806.0,39,83,Parkland,,3,,,
85-20573,861.0,67,85,Martin Crossing,,3,,,
86-20573,1788.0,100,86,Coventry Hills,,3,,,
87-20573,2648.0,114,87,17 Avenue SE / Applewood,,3,,,
88-20573,1018.0,41,88,Harvest Hills,,3,,,
89-20573,327.0,10,89,Lions Park,,3,,,
90-20573,3332.0,76,90,Bridgeland / University of Calgary,,3,,,
91-20573,919.0,104,91,Foothills Medical Centre,,3,,,
92-20573,3087.0,70,92,McKenzie Towne,,3,,,
93-20573,5899.0,116,93,Coach Hill / Westbrook,,3,,,
94-20573,2665.0,93,94,Strathcona / Westbrook,,3,,,
95-20573,445.0,15,95,Palliser,,3,,,
96-20573,2764.0,75,96,McKenzie,,3,,,
97-20573,2290.0,101,97,South Ranchlands-Scenic Acres,,3,,,
98-20573,1691.0,107,98,Cougar Ridge,,3,,,
99-20573,4063.0,106,99,Acadia/Oakridge,,3,,,
100-20573,3760.0,90,100,North Pointe/ Airport/ McKnight,,3,,,
101-20573,1123.0,62,101,Inglewood,,3,,,
102-20573,284.0,6,102,Douglasdale Express,,3,,,
103-20573,588.0,10,103,McKenzie Express,,3,,,
104-20573,2732.0,103,104,Sunnyside / University of Calgary,,3,,,
105-20573,1908.0,84,105,Dalhousie-Lions Park,,3,,,
106-20573,1059.0,28,106,Southland / Deerfoot Meadows,,3,,,
109-20573,382.0,9,109,Harvest Hills Express,,3,,,
110-20573,80.0,2,110,Douglas Glen Express,,3,,,
111-20573,1843.0,89,111,Old Banff Coach Road,,3,,,
113-20573,2203.0,82,113,North Ranchlands-Scenic Acres,,3,,,
114-20573,1687.0,41,114,Panorama/Country Hills,,3,,,
115-20573,2310.0,73,115,Symons Valley Parkway,,3,,,
116-20573,778.0,14,116,Coventry Hills Express,,3,,,
117-20573,530.0,9,117,McKenzie Towne Express,,3,,,
