stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
2203,2203,"SB Walden DR SE @ Walden PA SE",,  50.869042,-114.036827,,,0
2204,2204,"EB Walden DR SE @ Walden Heights SE",,  50.868065,-114.032462,,,0
2205,2205,"SB Legacy Village WY/ Legacy Vil RD SE",,  50.859105,-114.024902,,,0
2206,2206,"EB Legacy Village WY @ Legacy BV SE",,  50.857198,-114.020756,,,0
2207,2207,"SB Legacy CI SE @ Legacy Village WY",,  50.857342,-114.017350,,,0
2210,2210,"NB Legacy VW SE @ Legacy MR  SE",,  50.858409,-114.009198,,,0
2211,2211,"WB Legacy CI @ Legacy VW SE",,  50.860951,-114.009915,,,0
2212,2212,"WB Legacy CI @ Legacy CM SE",,  50.860945,-114.012454,,,0
2213,2213,"WB Legacy Main ST SE @ Legacy GA SE",,  50.860945,-114.018105,,,0
2214,2214,"NB Legacy BV SE @ Legacy Main ST SE",,  50.861282,-114.021438,,,0
2215,2215,"NB Walgrove DR SE @ 210 AV SE",,  50.863722,-114.021441,,,0
2216,2216,"WB Walden DR SE @ Walgrove CL SE",,  50.865764,-114.023810,,,0
2217,2217,"WB Walden DR SE @ Walgrove ST SE",,  50.866782,-114.025894,,,0
2218,2218,"NB Walden BV SE @ Walden GV SE",,  50.870002,-114.029645,,,0
2219,2219,"NB Walden BV SE @ Walden RI SE",,  50.872755,-114.029747,,,0
2220,2220,"SB Walden BV @ Walden RI SE",,  50.872035,-114.030048,,,0
2221,2221,"SB Walden BV @ acr fr Walden GV SE",,  50.869401,-114.030020,,,0
2222,2222,"EB Walden DR @ Walgrove CV SE",,  50.866101,-114.025322,,,0
2223,2223,"EB Walden DR SE @ Walgrove DR SE",,  50.865485,-114.023371,,,0
2224,2224,"SB Walgrove  DR SE  @ Walgrove CO SE",,  50.864707,-114.022172,,,0
2225,2225,"SB Legacy BV SE @ 210  AV SE",,  50.862471,-114.021731,,,0
2226,2226,"EB Legacy Main ST SE @ Legacy BV SE",,  50.860791,-114.020602,,,0
2227,2227,"EB Legacy CI SE @ Legacy GA SE",,  50.860777,-114.016649,,,0
2228,2228,"EB Legacy CI SE @ Legacy LD SE",,  50.860778,-114.011456,,,0
2229,2229,"SB Legacy VW SE @ Legacy Legacy CI SE",,  50.860148,-114.009348,,,0
2231,2231,"SB Legacy VW SE @ Legacy MR SE",,  50.857646,-114.009723,,,0
2234,2234,"WB 6 AV @ 1 ST SE",,  51.047530,-114.061468,,,0
2236,2236,"WB Legacy CI SE @ Legacy HT SE",,  50.855860,-114.015773,,,0
2237,2237,"WB Legacy Village WY @ Legacy CI SE",,  50.857695,-114.017899,,,0
2238,2238,"WB Legacy Village RD SE @Legacy Village Way SE",,  50.859912,-114.026012,,,0
2239,2239,"NB Legacy Village LI @ Legacy Main ST SE",,  50.862075,-114.027109,,,0
2240,2240,"NB Walden CM @ 210 AV SE",,  50.866087,-114.028437,,,0
2241,2241,"WB Walden DR @ Walden HT SE",,  50.868201,-114.033036,,,0
2242,2242,"NB Walden DR @ acr sleg of Walden CR SE",,  50.870600,-114.037791,,,0
2243,2243,"NB Walden DR @ acr nleg of Walden CR SE",,  50.873308,-114.037520,,,0
2245,2245,"WB 13 AV @ Aspen Summit GR SW",,  51.047077,-114.200569,,,0
2246,2246,"SB Legacy Village Li @ 210 Av SE",,  50.863810,-114.026257,,,0
2247,2247,"NB Chaparral BV @ 194 AV SE",,  50.878232,-114.024404,,,0
2248,2248,"EB Shawville WY @ W. of Shawville LI SE",,  50.899905,-114.068790,,,0
2249,2249,"SB Shawville LI @ Shawville WY SE",,  50.899310,-114.066536,,,0
2250,2250,"NB Shawville BV @ Shawville GA SE",,  50.899854,-114.063378,,,0
2251,2251,"EB 162 AV SE @ Shawville BV SE",,  50.904223,-114.064832,,,0
2252,2252,"NB Legacy Village LI @ 210 AV SE",,  50.863459,-114.026090,,,0
2253,2253,"EB 58 AV @ 37 ST SW",,  51.000861,-114.140597,,,0
2254,2254,"EB 8 AV NE @ 13A ST NE",,  51.059082,-114.028984,,,0
2255,2255,"WB Richardson WY @ Bishop WY SW",,  51.015129,-114.129540,,,0
2256,2256,"NB Redstone ST@ 128 AV NE",,  51.166404,-113.961820,,,0
2257,2257,"WB  Redstone DR @  Redstone ST NE",,  51.168534,-113.962568,,,0
2258,2258,"NB  Redstone GV @  Redstone DR NE",,  51.168767,-113.965782,,,0
2259,2259,"NB  Redstone GV @  Redstone VI NE",,  51.170193,-113.965713,,,0
2260,2260,"NB  Redstone GV @  Redstone PZ NE",,  51.171960,-113.965037,,,0
2261,2261,"NB  Redstone GV @  Redstone AV NE",,  51.172882,-113.963533,,,0
2262,2262,"SB  Redstone ST @  Redstone AV NE",,  51.172891,-113.961400,,,0
2263,2263,"SB  Redstone ST @  Redstone PA NE",,  51.169737,-113.962190,,,0
2265,2265,"EB Skyview Ranch DR @ 52 ST NE",,  51.157880,-113.957853,,,0
2267,2267,"EB 9 AV SW @ 81 ST SW",,  51.059553,-114.205490,,,0
2268,2268,"WB 9 AV SW @ 77 ST SW",,  51.059753,-114.199942,,,0
2269,2269,"EB Skyview Ranch DR @ Skyview Ranch ST NE",,  51.157949,-113.954998,,,0
2270,2270,"NB Skyview Ranch BV @ Skyview Point CM NE",,  51.158607,-113.950978,,,0
2271,2271,"NB Skyview Ranch BV @ Skyview Ranch AV NE",,  51.161386,-113.950760,,,0
2272,2272,"WB Skyview Ranch RD @ Skyview Ranch BV NE",,  51.162962,-113.951745,,,0
2273,2273,"EB 80 AV NE @ Martha's Meadows DR",,  51.125089,-113.963616,,,0
2274,2274,"EB Country Hills BV @ 14 ST NE",,  51.154112,-114.026200,,,0
2275,2275,"WB Country Hills BV @ 14 ST NE",,  51.154442,-114.029143,,,0
2276,2276,"EB 64 AV NE @ 11 ST NE",,  51.110424,-114.034978,,,0
2277,2277,"NB Aero DR @ S of Aero GT NE",,  51.118496,-114.031674,,,0
2278,2278,"NB Aero DR @ S of Aero GT NE",,  51.119224,-114.032887,,,0
2279,2279,"WB Aero GT @ W of Aero DR NE",,  51.121226,-114.037148,,,0
2280,2280,"SB Aero DR @ Aero GA NE",,  51.121111,-114.036187,,,0
2281,2281,"SB Aero DR NE @ Bldg 25",,  51.119402,-114.033443,,,0
2282,2282,"SB Aero DR NE @ Bldg 21",,  51.117845,-114.031240,,,0
2283,2283,"WB 36 AV NE @ 6 ST NE",,  51.085027,-114.048009,,,0
2286,2286,"EB 162 AV SW @ 24 ST SW",,  50.906538,-114.116708,,,0
2287,2287,"NB 52 ST NE adjacent to Saddlecreek CR",,  51.127999,-113.958162,,,0
2288,2288,"WB Saddlemont BV @ Saddleland DR NE",,  51.129525,-113.939543,,,0
2289,2289,"SB Redstone ST @ Redstone DR NE",,  51.167723,-113.962158,,,0
2290,2290,"SB Redstone ST @ Redstone WY NE",,  51.166368,-113.962184,,,0
2291,2291,"WB Country Hills BV @ E of Barlow TR NE",,  51.154505,-113.994621,,,0
2292,2292,"EB Country Hills BV @ Barlow TR NE",,  51.154126,-113.999932,,,0
2293,2293,"WB Country Hills BV @ Barlow TR NE",,  51.154519,-114.002976,,,0
2294,2294,"WB Country Hills BV @ Stonehill DR NE",,  51.154517,-114.007942,,,0
2295,2295,"WB Aero WY @ Aero CO NE",,  51.131082,-114.029233,,,0
2296,2296,"EB Areo DR @ Aero WY NE",,  51.136394,-114.027448,,,0
2297,2297,"EB Cityscape BV @ Metis TR NE",,  51.147064,-113.969049,,,0
2298,2298,"NB East Hills SQ @ East Hills BV SE",,  51.040971,-113.910986,,,0
2299,2299,"WB 17th AV SE @ 84th ST SE",,  51.037989,-113.909172,,,0
2300,2300,"NB 52 ST SE @ 94 AV SE",,  50.969225,-113.958202,,,0
2301,2301,"SB 52 ST SE @ 94 AV SE",,  50.968012,-113.958837,,,0
2302,2302,"NB 52 ST SE @ Copperfield GA",,  50.910794,-113.949361,,,0
2303,2303,"SB 52 ST SE @ Copperfield GA",,  50.910577,-113.949788,,,0
2306,2306,"SB 2A ST SE @ N. of 25 AV SE",,  51.032559,-114.058432,,,0
2308,2308,"SB Arbour Lake WY @ Arbour Ridge WY NW",,  51.137378,-114.190136,,,0
2309,2309,"SB 10 ST NW @ S.of Gladstone RD",,  51.056238,-114.086050,,,0
2311,2311,"NB 68 ST SE @ N Leg of Applewood Dr SE",,  51.045776,-113.934889,,,0
2312,2312,"NB 68 ST NE @ Abbercove Dr",,  51.050129,-113.934914,,,0
2313,2313,"NB 68 ST NE @ 4 AV SE",,  51.055942,-113.934861,,,0
2314,2314,"NB 68 ST NE @ Abbotsford Dr",,  51.062998,-113.934913,,,0
2315,2315,"NB 68 ST NE @ Monterey Square",,  51.069579,-113.934913,,,0
2316,2316,"NB 68 ST NE @ California BV",,  51.072812,-113.934848,,,0
2317,2317,"NB 68 ST NE @ 26 AV NE",,  51.076276,-113.934879,,,0
2318,2318,"NB 68 ST NE @ 32 AV NE",,  51.082059,-113.934813,,,0
2319,2319,"NB 68 ST NE @ 37 AV NE",,  51.086730,-113.934917,,,0
2320,2320,"NB 68 ST NE @ 43 AV NE",,  51.091913,-113.934920,,,0
2321,2321,"NB 68 ST NE @ Falconridge Dr",,  51.101643,-113.934940,,,0
2322,2322,"NB 68 ST NE @ Falton CL",,  51.103624,-113.934897,,,0
2323,2323,"NB 68 ST NE @ Faldale CL",,  51.105139,-113.934827,,,0
2324,2324,"NB 68 ST NE @ Falshire DR",,  51.108224,-113.934830,,,0
