,route_id,operating mins,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
141,70-20573,377.0,70,Valley Ridge Express,,3,,,
142,702-20573,72.0,702,Churchill/Nolan Hill,,3,,,
143,703-20573,120.0,703,Churchill/Sherwood,,3,,,
144,704-20573,164.0,704,Churchill/Edgepark Blvd,,3,,,
145,705-20573,52.0,705,Churchill/Edgebrook Rise,,3,,,
146,706-20573,180.0,706,Churchill/Edenwold Dr,,3,,,
147,71-20573,2590.0,71,Taradale,,3,,,
148,711-20573,75.0,711,Beaverbrook/Douglasglen,,3,,,
149,712-20573,55.0,712,Beaverbrook/Parkland,,3,,,
150,713-20573,66.0,713,Beaverbrook/Deer Run,,3,,,
151,715-20573,70.0,715,Beaverbrook/Queensland,,3,,,
152,719-20573,90.0,719,Beaverbrook/McKenzie,,3,,,
153,721-20573,74.0,721,Bowness/ Valley Ridge,,3,,,
154,722-20573,60.0,722,Bowness/ Tuscany Ravine,,3,,,
155,723-20573,66.0,723,Bowness/Tuscany Hills,,3,,,
156,724-20573,132.0,724,Bowness/Tuscany North,,3,,,
157,725-20573,69.0,725,Bowness/Silver Springs,,3,,,
158,731-20573,85.0,731,Central Memorial/Riverbend,,3,,,
159,732-20573,79.0,732,Central Memorial/Glamorgan,,3,,,
160,733-20573,48.0,733,Central Memorial/Lakeview,,3,,,
161,734-20573,78.0,734,Central Memorial/Ogden,,3,,,
162,735-20573,85.0,735,Central Memorial/North Ogden,,3,,,
163,736-20573,72.0,736,Diefenbaker/Panorama Hills,,3,,,
164,737-20573,56.0,737,Diefenbaker/ Harvest Hills,,3,,,
165,738-20573,314.0,738,Diefenbaker/Panorama Hills North,,3,,,
166,739-20573,60.0,739,Diefenbaker/Panorama Hills,,3,,,
167,74-20573,1300.0,74,Tuscany,,3,,,
168,743-20573,53.0,743,Crescent Heights/ Whitehorn Stn,,3,,,
169,744-20573,168.0,744,Crescent Heights/Coventry- South,,3,,,
170,745-20573,64.0,745,Crescent Heights/Vista Heights,,3,,,
171,746-20573,186.0,746,Crescent Heights/ Coventry Hills,,3,,,
172,747-20573,174.0,747,Crescent Heights/Hidden Valley,,3,,,
173,748-20573,77.0,748,Crescent Heights/ Hidden Ranch,,3,,,
174,750-20573,49.0,750,Nelson Mandela/ Coral Springs,,3,,,
175,752-20573,100.0,752,Fowler/SageHill/Kincora,,3,,,
176,753-20573,84.0,753,Fowler/Evanston/Kincora,,3,,,
177,754-20573,65.0,754,Joane Cardinal-Schubert/Copperpond,,3,,,
178,755-20573,70.0,755,Joane Cardinal-Schubert/Douglasglen,,3,,,
179,756-20573,126.0,756,Joane Cardinal-Schubert/ New Brighton,,3,,,
180,757-20573,54.0,757,Joane Cardinal-Schubert/McKenzie Lake,,3,,,
181,758-20573,54.0,758,Joane Cardinal-Schubert/Douglasdale,,3,,,
182,759-20573,114.0,759,Joane Cardinal-Schubert/McKenzie Towne,,3,,,
183,76-20573,2776.0,76,Hawkwood,,3,,,
184,760-20573,55.0,760,Scarlett / West Bonavista,,3,,,
185,762-20573,53.0,762,Scarlett/Bonavista,,3,,,
