route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
88-20573,88,"Harvest Hills",,3,,,
89-20571,89,"Lions Park",,3,,,
89-20573,89,"Lions Park",,3,,,
90-20571,90,"Bridgeland / University of Calgary",,3,,,
90-20573,90,"Bridgeland / University of Calgary",,3,,,
91-20571,91,"Foothills Medical Centre",,3,,,
91-20573,91,"Foothills Medical Centre",,3,,,
92-20571,92,"McKenzie Towne",,3,,,
92-20573,92,"McKenzie Towne",,3,,,
93-20571,93,"Coach Hill / Westbrook",,3,,,
93-20573,93,"Coach Hill / Westbrook",,3,,,
94-20571,94,"Strathcona / Westbrook",,3,,,
94-20573,94,"Strathcona / Westbrook",,3,,,
95-20573,95,"Palliser",,3,,,
96-20571,96,"McKenzie",,3,,,
96-20573,96,"McKenzie",,3,,,
97-20571,97,"South Ranchlands-Scenic Acres",,3,,,
97-20573,97,"South Ranchlands-Scenic Acres",,3,,,
98-20571,98,"Cougar Ridge",,3,,,
98-20573,98,"Cougar Ridge",,3,,,
99-20573,99,"Acadia/Oakridge",,3,,,
100-20571,100,"North Pointe/ Airport/ McKnight",,3,,,
100-20573,100,"North Pointe/ Airport/ McKnight",,3,,,
101-20573,101,"Inglewood",,3,,,
102-20571,102,"Douglasdale Express",,3,,,
102-20573,102,"Douglasdale Express",,3,,,
103-20571,103,"McKenzie Express",,3,,,
103-20573,103,"McKenzie Express",,3,,,
104-20571,104,"Sunnyside / University of Calgary",,3,,,
104-20573,104,"Sunnyside / University of Calgary",,3,,,
105-20571,105,"Dalhousie-Lions Park",,3,,,
105-20573,105,"Dalhousie-Lions Park",,3,,,
106-20573,106,"Southland / Deerfoot Meadows",,3,,,
107-20571,107,"South Calgary",,3,,,
109-20571,109,"Harvest Hills Express",,3,,,
109-20573,109,"Harvest Hills Express",,3,,,
110-20571,110,"Douglas Glen Express",,3,,,
110-20573,110,"Douglas Glen Express",,3,,,
111-20571,111,"Old Banff Coach Road",,3,,,
111-20573,111,"Old Banff Coach Road",,3,,,
112-20571,112,"Sarcee Road",,3,,,
113-20571,113,"North Ranchlands-Scenic Acres",,3,,,
113-20573,113,"North Ranchlands-Scenic Acres",,3,,,
114-20571,114,"Panorama/Country Hills",,3,,,
114-20573,114,"Panorama/Country Hills",,3,,,
115-20571,115,"Symons Valley Parkway",,3,,,
115-20573,115,"Symons Valley Parkway",,3,,,
116-20571,116,"Coventry Hills Express",,3,,,
116-20573,116,"Coventry Hills Express",,3,,,
117-20571,117,"McKenzie Towne Express",,3,,,
117-20573,117,"McKenzie Towne Express",,3,,,
118-20571,118,"Hidden Valley",,3,,,
118-20573,118,"Hidden Valley",,3,,,
119-20571,119,"Freeport",,3,,,
119-20573,119,"Freeport",,3,,,
120-20571,120,"North Silver Springs",,3,,,
120-20573,120,"North Silver Springs",,3,,,
123-20571,123,"Sage Hill / North Pointe",,3,,,
123-20573,123,"Sage Hill / North Pointe",,3,,,
124-20571,124,"Evanston",,3,,,
124-20573,124,"Evanston",,3,,,
125-20573,125,"Cedarbrae",,3,,,
126-20573,126,"Braeside",,3,,,
127-20571,127,"Maryvale/ Franklin Industrial",,3,,,
127-20573,127,"Maryvale/ Franklin Industrial",,3,,,
128-20571,128,"Cornerstone/ Redstone",,3,,,
128-20573,128,"Cornerstone/ Redstone",,3,,,
129-20571,129,"Dalhousie - Sage Hill",,3,,,
129-20573,129,"Dalhousie - Sage Hill",,3,,,
133-20571,133,"Cranston Express",,3,,,
133-20573,133,"Cranston Express",,3,,,
134-20571,134,"South Silver Springs",,3,,,
134-20573,134,"South Silver Springs",,3,,,
135-20571,135,"36 Street SE / Erin Woods",,3,,,
135-20573,135,"36 Street SE / Erin Woods",,3,,,
138-20571,138,"Citadel",,3,,,
138-20573,138,"Citadel",,3,,,
142-20571,142,"Panorama Express",,3,,,
142-20573,142,"Panorama Express",,3,,,
145-20571,145,"Skyview Ranch/ Redstone",,3,,,
145-20573,145,"Skyview Ranch/ Redstone",,3,,,
146-20571,146,"Beddington",,3,,,
146-20573,146,"Beddington",,3,,,
147-20571,147,"Starfield",,3,,,
147-20573,147,"Starfield",,3,,,
148-20571,148,"Great Plains",,3,,,
148-20573,148,"Great Plains",,3,,,
149-20571,149,"Point Trotter",,3,,,
149-20573,149,"Point Trotter",,3,,,
150-20571,150,"114 Avenue SE",,3,,,
150-20573,150,"114 Avenue SE",,3,,,
151-20571,151,"New Brighton Express",,3,,,
151-20573,151,"New Brighton Express",,3,,,
152-20571,152,"New Brighton",,3,,,
152-20573,152,"New Brighton",,3,,,
153-20571,153,"Copperfield",,3,,,
153-20573,153,"Copperfield",,3,,,
154-20571,154,"Hamptons",,3,,,
154-20573,154,"Hamptons",,3,,,
155-20571,155,"West Dover / Forest Lawn",,3,,,
155-20573,155,"West Dover / Forest Lawn",,3,,,
156-20571,156,"Aspen Woods",,3,,,
156-20573,156,"Aspen Woods",,3,,,
157-20571,157,"Saddletowne-Stoney Industrial",,3,,,
157-20573,157,"Saddletowne-Stoney Industrial",,3,,,
158-20571,158,"Royal Oak",,3,,,
158-20573,158,"Royal Oak",,3,,,
159-20571,159,"Saddlebrook",,3,,,
159-20573,159,"Saddlebrook",,3,,,
161-20571,161,"North Pointe - Stoney Industrial",,3,,,
161-20573,161,"North Pointe - Stoney Industrial",,3,,,
164-20571,164,"Aspen Woods",,3,,,
164-20573,164,"Aspen Woods",,3,,,
167-20571,167,"Walden - Legacy CCW",,3,,,
167-20573,167,"Walden - Legacy CCW",,3,,,
168-20571,168,"Walden - Legacy CW",,3,,,
168-20573,168,"Walden - Legacy CW",,3,,,
169-20571,169,"Rocky Ridge",,3,,,
169-20573,169,"Rocky Ridge",,3,,,
174-20571,174,"Tuscany",,3,,,
174-20573,174,"Tuscany",,3,,,
178-20571,178,"Sundance/Chaparral",,3,,,
178-20573,178,"Sundance/Chaparral",,3,,,
201-20562,201,"Red Line - Somerset - Bridlewood / Tuscany CTrain",,0,,,
201-20568,201,"Red Line - Somerset - Bridlewood / Tuscany CTrain",,0,,,
201-20573,201,"Red Line - Somerset - Bridlewood / Tuscany CTrain",,0,,,
202-20562,202,"Blue Line - Saddletowne / 69 Street CTrain",,0,,,
202-20568,202,"Blue Line - Saddletowne / 69 Street CTrain",,0,,,
202-20573,202,"Blue Line - Saddletowne / 69 Street CTrain",,0,,,
299-20571,299,"Arbour Lake",,3,,,
299-20573,299,"Arbour Lake",,3,,,
300-20571,300,"BRT Airport / City Centre",,3,,,
300-20573,300,"BRT Airport / City Centre",,3,,,
301-20571,301,"BRT North",,3,,,
301-20573,301,"BRT North",,3,,,
302-20571,302,"BRT Southeast",,3,,,
302-20573,302,"BRT Southeast",,3,,,
303-20571,303,"MAX Orange",,3,,,
303-20573,303,"MAX Orange",,3,,,
304-20573,304,"MAX Yellow",,3,,,
305-20571,305,"BRT Bowness",,3,,,
305-20573,305,"BRT Bowness",,3,,,
306-20571,306,"MAX Teal",,3,,,
306-20573,306,"MAX Teal",,3,,,
307-20571,307,"MAX Purple",,3,,,
307-20573,307,"MAX Purple",,3,,,
402-20571,402,"Silverado",,3,,,
402-20573,402,"Silverado",,3,,,
404-20571,404,"North Hill",,3,,,
404-20573,404,"North Hill",,3,,,
406-20571,406,"Auburn Bay",,3,,,
406-20573,406,"Auburn Bay",,3,,,
408-20571,408,"Valley Ridge",,3,,,
408-20573,408,"Valley Ridge",,3,,,
410-20571,410,"Glenmore Business Park",,3,,,
411-20571,411,"East Calgary",,3,,,
414-20571,414,"14 Street Crosstown",,3,,,
414-20573,414,"14 Street Crosstown",,3,,,
421-20571,421,"Panatella",,3,,,
421-20573,421,"Panatella",,3,,,
422-20571,422,"Dalhousie-Montgomery",,3,,,
422-20573,422,"Dalhousie-Montgomery",,3,,,
430-20571,430,"Sandstone / North Pointe",,3,,,
430-20573,430,"Sandstone / North Pointe",,3,,,
439-20571,439,"Discovery Ridge",,3,,,
439-20573,439,"Discovery Ridge",,3,,,
440-20571,440,"Chateau Estates / Franklin",,3,,,
440-20573,440,"Chateau Estates / Franklin",,3,,,
444-20571,444,"Chaparral Valley/ Walden",,3,,,
444-20573,444,"Chaparral Valley/ Walden",,3,,,
449-20571,449,"Eau Claire - Parkhill",,3,,,
449-20573,449,"Eau Claire - Parkhill",,3,,,
453-20571,453,"West Springs",,3,,,
453-20573,453,"West Springs",,3,,,
454-20571,454,"Springbank Hill",,3,,,
454-20573,454,"Springbank Hill",,3,,,
468-20571,468,"Cranston / Mahogany",,3,,,
468-20573,468,"Cranston / Mahogany",,3,,,
490-20573,490,"P/U Bus from NW to Stoney",,3,,,
492-20571,492,"P/U Bus from NE SA, WW to Whitehorn",,3,,,
496-20571,496,"P/U Bus from NW DH to Stoney &  SG",,3,,,
496-20573,496,"P/U Bus SE to SG & SF",,3,,,
497-20573,497,"P/U Bus South SB, AG, VP to SG 440",,3,,,
499-20573,499,"Take-home Bus - Weekdays",,3,,,
502-20571,502,"Heritage Park Shuttle",,3,,,
502-20573,502,"Heritage Park Shuttle",,3,,,
555-20571,555,"Dashmesh Centre",,3,,,
555-20573,555,"Dashmesh Centre",,3,,,
627-20571,627,"Columbia College",,3,,,
627-20573,627,"Columbia College",,3,,,
695-20571,695,"St Francis / Valley Ridge",,3,,,
695-20573,695,"St Francis/ Valley Ridge",,3,,,
698-20571,698,"17th Ave/Western Canada/St. Mary's",,3,,,
698-20573,698,"17th Ave/Western Canada/St. Mary's",,3,,,
699-20571,699,"West Springs/various schools",,3,,,
699-20573,699,"West Springs/various schools",,3,,,
702-20571,702,"Churchill/Nolan Hill",,3,,,
702-20573,702,"Churchill/Nolan Hill",,3,,,
703-20571,703,"Churchill/Sherwood",,3,,,
703-20573,703,"Churchill/Sherwood",,3,,,
704-20571,704,"Churchill/Edgepark Blvd",,3,,,
704-20573,704,"Churchill/Edgepark Blvd",,3,,,
